"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CJGE28","Business Births ","570.00 Number","Number","2009/2010","2009-04-01","2010-03-31","Annual"
"CJGE28","Business Births ","655.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Annual"
"CJGE28","Business Births ","720.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Annual"
"CJGE28","Business Births ","945.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Annual"
"CJGE28","Business Births ","880.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Annual"
"CJGE28","Business Births ","830.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Annual"
"CJGE28","Business Births ","830.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Annual"
