"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2015/2016","2015-04-01","2016-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.70 %","Percentage","2015/2016_Q1","2015-04-01","2015-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.70 %","Percentage","2015/2016_Jun","2015-06-01","2015-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.80 %","Percentage","2015/2016_Q2","2015-07-01","2015-09-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.80 %","Percentage","2015/2016_Sep","2015-09-01","2015-09-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.80 %","Percentage","2015/2016_Q3","2015-10-01","2015-12-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.80 %","Percentage","2015/2016_Dec","2015-12-01","2015-12-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2015/2016_Q4","2016-01-01","2016-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2015/2016_Mar","2016-03-01","2016-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.70 %","Percentage","2016/2017","2016-04-01","2017-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2016/2017_Q1","2016-04-01","2016-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2016/2017_Jun","2016-06-01","2016-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.70 %","Percentage","2016/2017_Q2","2016-07-01","2016-09-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.70 %","Percentage","2016/2017_Sep","2016-09-01","2016-09-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2016/2017_Q3","2016-10-01","2016-12-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2016/2017_Dec","2016-12-01","2016-12-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.70 %","Percentage","2016/2017_Q4","2017-01-01","2017-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.70 %","Percentage","2016/2017_Mar","2017-03-01","2017-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2017/2018_Q1","2017-04-01","2017-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2017/2018_Jun","2017-06-01","2017-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.30 %","Percentage","2017/2018_Q2","2017-07-01","2017-09-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.30 %","Percentage","2017/2018_Sep","2017-09-01","2017-09-30","Quarterly"
