"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CJGE27","Total Businesses","7765.00 Number","Number","2009/2010","2009-04-01","2010-03-31","Annual"
"CJGE27","Total Businesses","7870.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Annual"
"CJGE27","Total Businesses","8010.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Annual"
"CJGE27","Total Businesses","8135.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Annual"
"CJGE27","Total Businesses","8105.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Annual"
"CJGE27","Total Businesses","8610.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Annual"
"CJGE27","Total Businesses","8790.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Annual"
