OBJECTID,SITE_ID,X,Y,ADDRESS_1,ADDRESS_2,ADDRESS_3,POST_CODE,KNOWN_AS,GlobalID
550,YK1066,460875.8839,450672.9551,Fulford Road,Cemetery Road,,,,{7667EC2E-EE46-47F5-ACCA-5D8AF0AA1032}
551,YK1093,461211.0434,451906.7826,James Street Link,Morrisons Access,,YO10 3DT,,{9BAD45BF-BDCC-4298-9F31-2DF84E085850}
532,YP1205,464490.411,451473.5694,Grimston Bar Park & Ride,Hull Road,,YO19 5LA,,{FE94802A-B4A8-4DB3-8892-7119C6D5711A}
560,YP1408,455822.2945,453225.4515,Poppleton Bar Park & Ride,North Field Lane,,YO26 6PZ,,{BB146238-E841-4EAD-85CC-A2060C3B43F8}
599,YK1033,460530.2573,452374.3366,Monk Bar Car Park (Bottom),,,,,{D840696F-61A8-40D4-A09C-9892C253ABA1}
653,YK1046,457763.162,452390.4153,Boroughbridge Road,Carr Lane,,YO26 5HG,The Ainsty,{BFC9201E-FCBF-408F-B0C3-697D4A58B16B}
537,YK1126,462163.5396,453910.7958,New Lane/Malton Road,nr New Lane,,YO32 9TD,,{79F92E39-29A5-4AA2-A157-F41ECD57A7E5}
1780,YK1133,459984.2238,455269.9025,Wiggington Road,Clifton Moorgate,,YO32 3RJ,Bumper Castle,{022C9C0A-A9C1-42FD-A532-90B22DD675BD}
2980,YK1139,460263.4541,452510.0275,Lord Mayors Walk,Clarence Street,,Y031 7PJ,,{1877CBB2-9D48-4AE6-9CDA-2167920CEC93}
497,YP1301,462300.9517,454373.0415,Monk's Cross Park & Ride,Monk's Cross,,YO32 9JU,,{75F11B32-C386-410C-B5C9-B1F37BAAA296}
498,YP1106,457884,448313,Askham Bar Park & Ride,A1036 Tadcaster Road,,Y023 2UB,,{13F4DDF9-AB88-4A3F-A0AB-6FB3584B9AD9}
584,YP110C,457890,448319,Askham Bar Park & Ride,A1036 Tadcaster Road,,Y023 2UB,,{C078F90E-044E-4E87-86CE-FC11281F6A25}
444,YK1054,456292.4496,453285.8212,A59,A1237 Outer Ring Road,,,,{B903843A-3533-4F97-BF94-F95F52E191BB}
386,YK1006,459875.5378,451862.4129,Station Road,Lendal Arch Gyratory,,YO1 6HZ,,{870F5CB3-C9C2-4B81-9127-89902057BA2A}
379,YP1202,464391.7936,451349.9599,Grimston Bar Park & Ride,Hull Road,,YO19 5LA,,{340E0991-166D-4FA5-880E-ADB3AC2B1295}
575,YK1502,459766.82,451699.009,CYC West Offices,Cycle Park South west corner,External,YO1 6GA,Looking at M/C's,{CF760DDA-EC3E-41CB-B1F7-7598C5F7E601}
362,YP1204,464396.6115,451377.6381,Grimston Bar Park & Ride,Hull Road,,YO19 5LA,,{99861AEA-40BB-4671-8D36-4797B22EE5FD}
576,YK1065,459990.2274,451758.1057,Rougier Street,Tanners Row,,,,{19FEAB01-30A7-4B65-AD45-5D9703BC56E3}
581,YK1027,460687.343,451752.3872,Shambles Car Park,Garden Place,Shambles Car Park,,Shambles Car Park,{F36BBB85-85BF-4683-BBA2-C2C8C56C9DDF}
378,YP1206,464492.9125,451471.4293,Grimston Bar Park & Ride,Hull Road,,YO19 5LA,,{329C2326-F5C8-47A9-9265-C161848D83CD}
396,YK1016,460033.3822,451626.3639,Micklegate (East),George Hudson Street,,,,{1BFDF38B-11EB-4C19-9FB6-E0ED78C4F613}
437,YK1022,460772.3622,452157.0339,Foss Bank Car Park,Foss Bank Upper,,,,{DE36EEF3-5C1C-4AB0-B406-192A1D03645D}
424,YP140B,455797.5767,453276.959,Poppleton Bar Park & Ride,North Field Lane,,YO26 6PZ,,{9485293D-B8D0-407F-ADFA-13BEBD8853F4}
395,YK1038,460341.5846,452055.379,Grape Lane,,,,,{46BC939C-A666-4C1C-B17E-E878B56B0432}
502,YP1401,455738.4408,453366.3658,Poppleton Bar Park & Ride,North Field Lane,,YO26 6PZ,,{0608A80B-3D90-4456-9868-8FDFC2942481}
489,YK1002,461102.3934,451381.4819,Walmgate Bar,Foss Islands Road,,YO10 3BN,,{1F955791-6FEE-4F5F-80B5-42A17E81C652}
416,YK1024,460765.8305,452145.0086,Foss Bank Car Park,Foss Bank Lower Ground,,,,{394F908D-EC81-492F-9C5E-047BB4C5B6BF}
526,YK1501,459778.8823,451717.6613,CYC West Offices,Main Building South west corner,External,YO1 6GA,Cycle park access,{540853F3-10A5-4190-87B6-133E7F9B693E}
508,YK1516,459838.019,451759.712,CYC West Offices,Main Building North West Side,External,YO1 6GA,Looking at Vehicle entrance and exit,{5A2F4D44-956C-4DC3-ACBE-97E0B8AE44C1}
559,YK1034,460597.7476,452477.7946,Monk Bar Car Park (Entrance),,,,,{25CD4455-4C59-46AF-9A95-341DADEE5AF7}
507,YK1041,459753.7109,451959.6467,Esplanade Car Park,,,,,{66625E24-12E5-43B2-811C-606299FDED4E}
512,YK1040,460283.3901,451955.2357,Back Swinegate,Little Stonegate,,,,{BAA5E59A-8713-4696-8399-9040C1212A20}
488,YK1068,460897.1161,450286.2077,Fulford Road ,Hospital Fields Road,,YO10 4EB,,{1524915E-E2E5-4F2B-B765-87F689D25178}
633,YP1109,457887,448316,Askham Bar Park & Ride,A1036 Tadcaster Road,,Y023 2UB,,{89A989B9-A42C-4480-8A9F-6CF39CFCCA13}
650,YP1105,457883,448312,Askham Bar Park & Ride,A1036 Tadcaster Road,,Y023 2UB,,{032A7097-2DC3-4FE7-831B-E9836EACE9E6}
637,YK1127,462508,454180,Jockey Lane/Malton Road,nr Jockey Lane,,YO32 9TE,,{2BC38003-EE02-42EB-8078-9A333D103543}
434,YK1422,460357.0409,451663.9755,Coppergate ANPR (Outbound),,,,,{27561404-D7D2-4ABE-BA34-CCDC0B7CF09D}
494,YK1421,460357.0409,451663.9755,Coppergate ANPR (Inbound),,,,,{81657B25-3813-4E6A-8340-6EEBB758747D}
